Time,time
978,42253
979,42254
980,42255
981,42256
982,42257
983,42258
984,42259
985,42260
986,42261
987,42262
988,42263
989,42264
990,42265
991,42266
992,42267
993,42268
994,42269
995,42270
996,42271
997,42272
998,42273
999,42274
1000,42275
1001,42276
1002,42277
1003,42278
1004,42279
1005,42280
1006,42281
1007,42282
1008,42283
1009,42284
1010,42285
1011,42286
1012,42287
1013,42288
1014,42289
1015,42290
1016,42291
1017,42292
1018,42293
1019,42294
1020,42295
1021,42296
1022,42297
1023,42298
1024,42299
1025,42300
1026,42301
1027,42302
1028,42303
1029,42304
1030,42305
1031,42306
1032,42307
1033,42308
1034,42309
1035,42310
1036,42311
1037,42312
1038,42313
1039,42314
1040,42315
1041,42316
1042,42317
1043,42318
1044,42319
1045,42320
1046,42321
1047,42322
1048,42323
1049,42324
1050,42325
1051,42326
1052,42327
1053,42328
1054,42329
1055,42330
1056,42331
1057,42332
1058,42333
1059,42334
1060,42335
1061,42336
1062,42337
1063,42338
1064,42339
1065,42340
1066,42341
1067,42342
1068,42343
1069,42344
1070,42345
1071,42346
1072,42347
1073,42348
1074,42349
1075,42350
1076,42351
1077,42352
1078,42353
1079,42354
1080,42355
1081,42356
1082,42357
1083,42358
1084,42359
1085,42360
1086,42361
1087,42362
1088,42363
1089,42364
1090,42365
1091,42366
1092,42367
1093,42368
1094,42369
1095,42370
1096,42371
1097,42372
1098,42373
1099,42374
1100,42375
1101,42376
1102,42377
1103,42378
1104,42379
1105,42380
1106,42381
1107,42382
1108,42383
1109,42384
1110,42385
1111,42386
1112,42387
1113,42388
1114,42389
1115,42390
1116,42391
1117,42392
1118,42393
1119,42394
1120,42395
1121,42396
1122,42397
1123,42398
1124,42399
1125,42400
1126,42401
1127,42402
1128,42403
1129,42404
1130,42405
1131,42406
1132,42407
1133,42408
1134,42409
1135,42410
1136,42411
1137,42412
1138,42413
1139,42414
1140,42415
1141,42416
1142,42417
1143,42418
1144,42419
1145,42420
1146,42421
1147,42422
1148,42423
1149,42424
1150,42425
1151,42426
1152,42427
1153,42428
1154,42429
1155,42430
1156,42431
1157,42432
1158,42433
1159,42434
1160,42435
1161,42436
1162,42437
1163,42438
1164,42439
1165,42440
1166,42441
1167,42442
1168,42443
1169,42444
1170,42445
1171,42446
1172,42447
1173,42448
1174,42449
1175,42450
1176,42451
1177,42452
1178,42453
1179,42454
1180,42455
1181,42456
1182,42457
1183,42458
1184,42459
1185,42460
1186,42461
1187,42462
1188,42463
1189,42464
1190,42465
1191,42466
1192,42467
1193,42468
1194,42469
1195,42470
1196,42471
1197,42472
1198,42473
1199,42474
1200,42475
1201,42476
1202,42477
1203,42478
1204,42479
1205,42480
1206,42481
1207,42482
1208,42483
1209,42484
1210,42485
1211,42486
1212,42487
1213,42488
1214,42489
1215,42490
1216,42491
1217,42492
1218,42493
1219,42494
1220,42495
1221,42496
1222,42497
1223,42498
1224,42499
1225,42500
1226,42501
1227,42502
1228,42503
1229,42504
1230,42505
1231,42506
1232,42507
1233,42508
1234,42509
1235,42510
1236,42511
1237,42512
1238,42513
1239,42514
1240,42515
1241,42516
1242,42517
1243,42518
1244,42519
1245,42520
1246,42521
1247,42522
1248,42523
1249,42524
1250,42525
1251,42526
1252,42527
1253,42528
1254,42529
1255,42530
1256,42531
1257,42532
1258,42533
1259,42534
1260,42535
1261,42536
1262,42537
1263,42538
1264,42539
1265,42540
1266,42541
1267,42542
1268,42543
1269,42544
1270,42545
1271,42546
1272,42547
1273,42548
1274,42549
1275,42550
1276,42551
1277,42552
1278,42553
1279,42554
1280,42555
1281,42556
1282,42557
1283,42558
1284,42559
1285,42560
1286,42561
1287,42562
1288,42563
1289,42564
1290,42565
1291,42566
1292,42567
1293,42568
1294,42569
1295,42570
1296,42571
1297,42572
1298,42573
1299,42574
1300,42575
1301,42576
1302,42577
1303,42578
1304,42579
1305,42580
1306,42581
1307,42582
1308,42583
1309,42584
1310,42585
1311,42586
1312,42587
1313,42588
1314,42589
1315,42590
1316,42591
1317,42592
1318,42593
1319,42594
1320,42595
1321,42596
1322,42597
1323,42598
1324,42599
1325,42600
